lon,lat,subbasin,n_years_days,mhw_days_sen_per_decade,mhw_days_mk_p,mhw_days_mk_tau,mhw_days_sig_p05,n_years_intensity,intensity_sen_per_decade,intensity_mk_p,intensity_mk_tau,intensity_sig_p05
91.625,21.125,Northern BoB,31,16.896551724137932,0.003431271830604432,0.3720430107526882,True,27,0.012763157894736896,0.5047075455861032,0.09401709401709402,False
91.625,21.625,Northern BoB,31,15.0,0.007170897173688795,0.3419354838709677,True,28,-0.020061202686202685,0.48926508700643856,-0.09523809523809523,False
91.875,15.375,Central BoB,31,22.0,0.0015153135793966044,0.4021505376344086,True,26,0.020654761904761933,0.2517286908429268,0.16307692307692306,False
91.875,20.625,Northern BoB,31,18.823529411764707,0.0011824125449300116,0.410752688172043,True,25,0.021218137254902,0.5593049468922573,0.08666666666666667,False
92.125,10.375,Central BoB,31,17.142857142857142,0.0003584038870447781,0.45161290322580644,True,25,-0.050988095238095194,0.042165578463101205,-0.29333333333333333,True
92.125,12.625,Central BoB,31,25.0,0.0004497236933060922,0.44516129032258067,True,27,-0.04317460317460318,0.2186091008488118,-0.17094017094017094,False
92.125,13.875,Central BoB,31,24.210526315789473,0.0004626638785032444,0.44086021505376344,True,23,-0.031842105263157894,0.2673270197885058,-0.16996047430830039,False
92.125,14.625,Central BoB,31,21.0,0.0001449636813604105,0.4817204301075269,True,28,0.01521520146520142,0.7973063403989813,0.037037037037037035,False
92.125,17.875,Northern BoB,31,22.60869565217391,0.001109449240441096,0.410752688172043,True,23,0.018090909090909116,0.5973541948267043,0.08300395256916997,False
92.375,5.125,Southern BoB,31,15.0,0.00031278422842673237,0.45376344086021503,True,23,-0.030833333333333268,0.3977063331532489,-0.13043478260869565,False
92.375,13.375,Central BoB,31,23.333333333333336,0.0011513159785891958,0.410752688172043,True,24,-0.0393818681318682,0.22420756495904914,-0.18115942028985507,False
92.375,19.875,Northern BoB,31,26.0,0.00010919605766113172,0.49032258064516127,True,26,-0.028266666666666575,0.2704279639103757,-0.15692307692307692,False
